Catchment,prcptot,RR1,rx1day,rx5day,cwd,rr20mm,r90p,r95p,r99p,r90pday,r95pday,r99pday,nrr95p,nrr99p,dry_days,cdd,Year
GRDC_6335680,875.0278921498,222.3,22.15968,51.87024895,23.6,0.7,8.394223569000001,10.750554454999996,15.320213189,22.7,11.6,2.8,0.29156689973450833,0.19115823589484277,105.9,14.8,2015.5
GRDC_6335681,919.5218791973999,231.7,23.6715344,53.5731709,23.3,1.2,7.939438555000001,10.840758389999996,16.6494835485,23.7,12.2,3.0,0.28467993102973066,0.16691313104252464,133.6,16.0,2015.5
GRDC_6335690,977.5087144781191,208.8,25.8541636,56.66645525,25.6,1.4,9.72905601,12.769339114999998,18.048428097,21.4,10.9,2.7,0.28469882936786794,0.18717543081401394,119.4,17.1,2015.5
GRDC_6335695,989.09968638887,217.4,27.839024888888886,62.28429232222223,25.9,1.4,9.332212477777778,12.566298113888884,18.51556469444445,22.2,11.2,2.7,0.28587954609546135,0.17873865113199078,110.6,15.2,2015.5
GRDC_6335696,1123.3399190124599,256.4,29.567017599999996,65.50403566,35.6,2.1,8.769882696,11.717381834999994,18.426029898500012,26.1,13.2,3.0,0.30124040421279086,0.18248197172517225,108.9,13.8,2015.5
GRDC_6335697,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,2015.5
GRDC_6335700,901.55107804898,214.7,24.353601222222224,51.06866597777778,20.2,1.3,8.158100413333333,11.26557127777777,17.905460896666664,21.8,11.1,2.7,0.29575537161069626,0.1688413896158873,113.3,12.5,2015.5
GRDC_6335710,1354.7358843182099,270.2,34.846344800000004,78.11517610000001,41.1,5.1,10.578838115,13.875004242499989,23.081040623999986,27.3,13.9,3.0,0.30320684933891184,0.1748163276609282,95.1,8.2,2015.5
GRDC_6335720,1234.185321921125,234.9,32.238904,74.40244845555556,34.7,4.9,11.2387487,14.539559069444433,22.445676351111096,23.8,12.1,2.7,0.2871250429828146,0.17857513605437286,93.1,11.0,2015.5
GRDC_6335725,1211.91333400249,229.6,32.50175755555555,76.88127685555556,32.4,4.6,11.277580627777779,15.43623994444444,22.837899161111103,23.3,11.8,2.7,0.28099323301051626,0.17627050490065863,98.4,12.3,2015.5
GRDC_6335730,1432.82992246943,277.1,33.3457614,72.33644240999999,45.1,4.9,11.12004147,14.616535254999999,23.227592934999993,28.3,14.5,3.2,0.2979761058551578,0.18263777813053075,88.2,9.0,2015.5
GRDC_6335735,1269.80298508442,254.3,34.298524099999995,75.99992508,38.4,4.3,10.35594891,14.255782494999997,21.870785559999984,26.1,13.4,3.0,0.28706399432541235,0.17320685578480438,111.0,13.5,2015.5
GRDC_6335800,789.2515338144,198.9,21.554039699999997,53.125403399999996,24.9,1.0,7.523167518999999,10.2552798975,16.432312450999994,20.4,10.4,2.6,0.2949547857335304,0.16561229311260478,129.9,18.0,2015.5
GRDC_6335810,347.5450950273,91.4,14.060188166666668,40.88160798,10.4,0.4,5.505431676666667,7.52083993083333,12.022956685333332,9.4,4.9,1.3,0.4592738028928889,0.3666823756917496,49.4,7.5,2015.5
GRDC_6335820,724.32734057538,184.7,23.304512666666668,48.33623798888888,24.5,0.7,7.533463891111115,10.177742930555551,16.33136420166667,18.8,9.6,2.4,0.305365572152038,0.17025609035080605,99.7,11.2,2015.5
