,GRDC_6335117,GRDC_6335125,GRDC_6342660,GRDC_6342670,GRDC_6342675
2011-07-28,0.37908357,1.3324245,0.65609634,0.38946044,0.48846883
2011-07-29,0.36194003,1.0667607,0.69149196,0.36517543,0.4814192
2011-07-30,0.35359734,0.886387,0.62383366,0.36216515,0.46324164
2011-07-31,0.3059255,0.75949657,0.5511712,0.327816,0.421763
2011-08-01,0.26932812,0.6944715,0.50941867,0.3056085,0.3948146
2011-08-02,0.23399341,0.66073465,0.50227684,0.3005399,0.39295506
2011-08-03,0.19828308,0.6852298,0.54648006,0.28165126,0.39371252
2011-08-04,0.26083493,0.6741737,0.67511225,0.32235163,0.45566767
2011-08-05,0.21083945,0.8353989,0.7549645,0.3740968,0.5104613
2011-08-06,0.2722292,0.8519337,0.7708616,0.38437384,0.5204401
2011-08-07,0.3479936,1.0326208,1.5879736,0.65140736,0.9263788
2011-08-08,0.43177664,1.0533437,1.8418565,0.75813997,1.0509661
2011-08-09,0.43725675,1.0205067,1.6340432,0.7441361,0.99891293
2011-08-10,0.41871434,0.8430887,1.1044049,0.6124313,0.7754143
2011-08-11,0.34773207,0.73906803,0.8029468,0.50444186,0.6304084
2011-08-12,0.31866354,0.683032,0.6973227,0.44159257,0.56221575
2011-08-13,0.33193755,0.6425903,0.62802553,0.3893252,0.5074946
2011-08-14,0.29309142,0.7884213,0.5967417,0.37198436,0.48310077
2011-08-15,0.31180447,1.4926558,1.0716938,0.46551943,0.6848904
2011-08-16,0.27847004,1.2605859,0.91568047,0.50623417,0.6608597
2011-08-17,0.24709463,0.9890071,0.7226105,0.4373877,0.5695146
2011-08-18,0.21718478,0.87686634,0.6416656,0.39903867,0.52068394
2011-08-19,0.23721123,0.83725494,0.79104525,0.4179989,0.5789679
2011-08-20,0.2293579,0.7511159,0.6892008,0.45283437,0.5665009
2011-08-21,0.1783495,0.6941385,0.6019958,0.40420735,0.5110268
2011-08-22,0.25663412,0.65475214,0.54960567,0.37558067,0.47503048
2011-08-23,0.21937412,0.6396276,0.5056088,0.3496195,0.44467127
2011-08-24,0.20698446,0.63634455,0.5578869,0.33186,0.4473688
2011-08-25,0.21319705,0.71116805,0.52078116,0.36426824,0.46049118
2011-08-26,0.19191474,1.1238829,0.4746009,0.36046267,0.4390368
2011-08-27,0.31181484,1.1901535,0.4651566,0.2935018,0.38113886
2011-08-28,0.3384633,0.94396275,0.424385,0.33045077,0.39470398
2011-08-29,0.2910176,0.76213896,0.37395006,0.29431474,0.35479033
2011-08-30,0.2659732,0.65868247,0.34228128,0.26829463,0.32527363
2011-08-31,0.24050403,0.60122824,0.33790594,0.26253963,0.3173077
2011-09-01,0.22323811,0.5843159,0.35530186,0.23861688,0.30277896
2011-09-02,0.19272232,0.6151913,0.37174255,0.26554734,0.32786626
2011-09-03,0.20388305,0.6269239,0.36527008,0.26629227,0.3252201
2011-09-04,0.15840614,0.8313971,0.8089088,0.30228794,0.44682568
2011-09-05,0.24290377,0.84008944,2.2129602,0.7710918,1.1363237
2011-09-06,0.20825344,0.7212524,1.7903947,0.728317,0.9828424
2011-09-07,0.19656307,0.73080146,1.1766566,0.5809431,0.74965346
2011-09-08,0.19370097,0.6806506,0.99126023,0.51283664,0.6718167
2011-09-09,0.1754083,0.66153824,0.90015554,0.4801529,0.6277597
2011-09-10,0.17799228,0.6408986,0.75054336,0.44220716,0.56750375
2011-09-11,0.13074476,0.7176001,0.8259191,0.42913544,0.5822903
2011-09-12,0.2253142,0.6882709,0.70704925,0.42990053,0.54580826
2011-09-13,0.18211073,0.6495132,0.6001163,0.38316697,0.48520356
2011-09-14,0.19473344,0.6252105,0.67629015,0.34915084,0.4775042
2011-09-15,0.18265796,0.57792944,0.57529294,0.36301643,0.45796722
2011-09-16,0.17059189,0.5650666,0.5008767,0.31874973,0.40857762
2011-09-17,0.15441972,0.8579931,0.5638999,0.30188745,0.41248363
2011-09-18,0.14073408,1.2190163,1.2033759,0.49277234,0.7058811
2011-09-19,0.17419565,1.0619782,2.5030437,1.1520882,1.5851271
2011-09-20,0.17107904,0.85070133,2.077155,0.9666853,1.3037395
2011-09-21,0.159226,0.7402983,1.2765185,0.71135986,0.89522684
2011-09-22,0.15797448,0.6729262,0.90554106,0.5698582,0.7121484
2011-09-23,0.15087974,0.62372255,0.7581847,0.48550892,0.6171986
2011-09-24,0.1458391,0.586467,0.6633985,0.42524755,0.5476855
2011-09-25,0.14081538,0.5622951,0.6074569,0.3828289,0.5031647
2011-09-26,0.14213604,0.54014015,0.57604814,0.35997367,0.47918397
2011-09-27,0.13895452,0.5226324,0.5467176,0.3363927,0.4542569
2011-09-28,0.13787198,0.50427955,0.511137,0.31657434,0.4272254
2011-09-29,0.14120173,0.48116106,0.48161298,0.2995882,0.40595704
2011-09-30,0.13780463,0.4660269,0.46716702,0.29444432,0.39604592
2011-10-01,0.1346342,0.45127213,0.44913745,0.2843647,0.3831491
2011-10-02,0.1331631,0.44308394,0.42917442,0.275321,0.3688059
2011-10-03,0.13816905,0.4330709,0.4077915,0.26293075,0.35220855
2011-10-04,0.13476759,0.42008007,0.40542287,0.26108193,0.3500771
2011-10-05,0.13179743,0.40517002,0.38370097,0.24981385,0.33498
2011-10-06,0.0810191,0.54058135,0.39592153,0.243478,0.3292616
2011-10-07,0.17338037,0.68979216,0.89814353,0.29105747,0.492688
2011-10-08,0.14536619,0.84798247,2.0683625,0.69447154,1.1068814
2011-10-09,0.13367057,0.87332785,1.8889227,0.6577966,0.99943566
2011-10-10,0.1350972,1.243069,2.357719,0.81491375,1.2804266
2011-10-11,0.15499204,1.0802966,1.8978745,0.74766374,1.1060077
2011-10-12,0.14023364,0.92715883,1.4042879,0.6862568,0.95191824
2011-10-13,0.1297034,0.8775192,1.8365941,0.8498718,1.2519182
2011-10-14,0.13471246,0.74727726,1.3741778,0.68091255,0.9555821
2011-10-15,0.119549215,0.64503825,0.9241181,0.5251042,0.70098794
2011-10-16,0.111727834,0.59961784,0.75937366,0.44752866,0.5961861
2011-10-17,0.10520494,0.57052535,0.66350013,0.387087,0.5237984
2011-10-18,0.0703935,0.58187664,0.6423563,0.3725803,0.5090013
2011-10-19,0.07193756,1.2007172,0.688468,0.34478623,0.4999721
2011-10-20,0.20115483,1.0702261,0.65220743,0.33484507,0.4759013
2011-10-21,0.13836116,0.86846304,0.5681816,0.30382746,0.42562765
2011-10-22,0.126378,0.75224245,0.52697414,0.28418857,0.3979332
2011-10-23,0.10815996,0.6979475,0.49982595,0.27265167,0.37819403
2011-10-24,0.08920264,0.67319655,0.5175577,0.28422028,0.39247316
2011-10-25,0.08490169,0.6934072,0.5368698,0.29220688,0.40408516
2011-10-26,0.10228497,0.690567,0.6478437,0.32634515,0.46771723
2011-10-27,0.08384454,0.65358233,0.6212517,0.35298824,0.4697485
2011-10-28,0.08270943,0.64245105,0.57298696,0.32443577,0.43465108
2011-10-29,0.071288705,0.63214123,0.53751975,0.30792665,0.40746683
2011-10-30,0.07615125,0.6139897,0.51021767,0.29560453,0.38724595
2011-10-31,0.073705375,0.58402824,0.49405903,0.28942084,0.37634492
2011-11-01,0.06914699,0.5723288,0.48392218,0.28230172,0.36787128
2011-11-02,0.06594598,0.5634974,0.4630338,0.2707336,0.35148335
2011-11-03,0.06348127,0.55189985,0.4636578,0.27266604,0.35376644
2011-11-04,0.035385728,0.5459148,0.4726876,0.27996534,0.3589781
2011-11-05,0.09033209,0.537648,0.4974398,0.2956105,0.37964767
2011-11-06,0.07339984,0.50588816,0.49298233,0.2967021,0.3790772
2011-11-07,0.07032001,0.47953492,0.47744304,0.29424995,0.3730657
2011-11-08,0.06446159,0.4607517,0.46044958,0.28467566,0.36046195
2011-11-09,0.05701703,0.4424345,0.43134916,0.26845258,0.33712918
2011-11-10,0.04947543,0.41945475,0.40622443,0.25259614,0.31327695
2011-11-11,0.0491091,0.4042127,0.3805166,0.23330313,0.289957
2011-11-12,0.041473746,0.40437406,0.36092257,0.2178384,0.27136797
2011-11-13,0.032176852,0.3823008,0.35289484,0.2120632,0.26438087
2011-11-14,0.025365353,0.36061084,0.32771635,0.19260252,0.24071336
2011-11-15,0.018735051,0.3443125,0.32406092,0.18532312,0.23349774
2011-11-16,0.014633417,0.33093798,0.32017916,0.17592996,0.22351915
2011-11-17,0.019389987,0.3446294,0.33617717,0.18175519,0.23155546
2011-11-18,0.024986029,0.3556773,0.3686176,0.19916826,0.25145972
2011-11-19,0.020376563,0.35016578,0.3488316,0.18475115,0.23136908
2011-11-20,0.022847414,0.36496848,0.35754377,0.18734807,0.2330516
2011-11-21,0.022613287,0.35696846,0.36977398,0.19854039,0.24209529
2011-11-22,0.024176955,0.35672057,0.3613702,0.19527471,0.2341882
2011-11-23,0.019129634,0.33463013,0.34119076,0.17617995,0.21272874
2011-11-24,0.015981317,0.309623,0.32899553,0.16720933,0.19955307
2011-11-25,0.011683464,0.30805272,0.33453703,0.16966909,0.20102578
2011-11-26,0.021036625,0.31150508,0.3624848,0.18131965,0.21640146
2011-11-27,0.01862514,0.3206333,0.398533,0.21152478,0.24901164
2011-11-28,0.013966441,0.3325007,0.41485584,0.21785247,0.25772667
2011-11-29,0.016485572,0.3315825,0.39055985,0.20089716,0.2362706
2011-11-30,0.017512202,0.36500484,0.4273361,0.21768749,0.26042974
2011-12-01,0.021365166,0.38595623,0.42844296,0.22896558,0.26803708
2011-12-02,0.016233563,0.4513415,0.43405455,0.2276318,0.26850307
2011-12-03,-0.0013025999,0.5092772,0.54425186,0.26238662,0.32260346
2011-12-04,0.045413375,0.8458252,0.66920936,0.3419631,0.41755444
2011-12-05,0.1895734,1.7963749,1.0975509,0.53391933,0.65886605
2011-12-06,0.2599089,2.4975584,1.3391924,0.63968503,0.77376974
2011-12-07,0.30298436,4.0638437,2.1411405,1.0012006,1.2462301
2011-12-08,0.30968446,3.7352724,1.7200022,0.8460124,1.0032012
2011-12-09,0.3774764,5.17918,1.588928,0.91230243,1.0251625
2011-12-10,0.38545418,6.467596,2.4472797,1.3270812,1.5524689
2011-12-11,0.3241278,5.6113467,1.9395914,1.0460652,1.1926131
2011-12-12,0.34669882,5.418142,1.4966757,0.9083608,0.97858536
2011-12-13,0.40503246,4.6998625,1.1663224,0.75807524,0.79760516
2011-12-14,0.4675728,4.3492203,1.0210329,0.71748257,0.7462977
2011-12-15,0.48583865,4.300978,0.9333727,0.6572999,0.6833717
2011-12-16,1.5453436,7.0641456,1.2848611,0.869016,0.8942954
2011-12-17,1.4080117,7.346565,1.2730483,0.8754711,0.88336754
2011-12-18,1.2423253,6.851621,1.0384221,0.7247381,0.71977985
2011-12-19,1.0117977,5.6909375,0.8512075,0.60248804,0.5937261
2011-12-20,1.045232,5.9099135,0.9933148,0.6077041,0.63701594
2011-12-21,0.93889856,5.6688733,1.2059698,0.81639475,0.83557653
2011-12-22,0.9795652,6.7514997,1.8734505,1.0495664,1.1855944
2011-12-23,0.86867,6.207798,1.9955063,1.086995,1.2449721
2011-12-24,0.81524414,6.6182675,1.8745718,1.0676954,1.181615
2011-12-25,0.716205,5.7346177,1.452328,0.8928874,0.94501895
2011-12-26,0.6436831,4.5847244,1.1713799,0.77987057,0.8054218
2011-12-27,0.5858859,3.6538334,1.0098809,0.6902283,0.70649517
2011-12-28,0.52802855,3.011589,0.8734359,0.59940195,0.6100944
2011-12-29,0.54759187,3.0115852,0.8329891,0.563131,0.57783526
2011-12-30,0.5963905,4.692902,1.3211762,0.845457,0.88894033
2011-12-31,0.7250476,6.8646393,2.1969938,1.2857295,1.41385
2012-01-01,0.72303414,6.874412,2.359356,1.372844,1.4972578
2012-01-02,1.0502292,7.419598,2.0873036,1.2720484,1.3367083
2012-01-03,1.0578766,6.6540546,1.6276972,1.0461947,1.0736916
2012-01-04,1.0074788,7.6552896,2.1089115,1.5140531,1.5069793
2012-01-05,1.7392564,8.741881,3.0035763,2.1590438,2.1332297
2012-01-06,1.5305436,8.775793,3.136036,2.2322602,2.1909158
2012-01-07,1.4217187,8.743579,3.1283932,2.3084462,2.208284
2012-01-08,1.2463651,8.595033,3.6642628,2.6330261,2.6093724
2012-01-09,1.1359011,8.090826,3.7840214,2.6251562,2.6400862
2012-01-10,0.98578227,7.329301,3.3641381,2.402172,2.3684216
2012-01-11,0.8511039,6.0644226,2.336998,1.7147315,1.6148496
